7.129.72.21;00:50:56:68:93:6F;1102-1202;DC4PRHCIHST0111-INT-POLICY-GRP
7.129.64.23;00:50:56:61:57:49;1102-1202;DC4PRHCIHST0113-INT-POLICY-GRP
7.129.72.23;00:50:56:62:33:90;1102-1202;DC4PRHCIHST0113-INT-POLICY-GRP
7.129.68.23;00:50:56:62:C4:C4;1102-1202;DC4PRHCIHST0113-INT-POLICY-GRP
7.129.64.41;00:50:56:62:F2:DF;1102-1202;DC4PRHCIHST0215-INT-POLICY-GRP
0.0.0.0;00:50:56:57:1B:0C;1104-1204;L2OUT-IBE2-INT-POLICY
0.0.0.0;00:50:56:57:19:34;1104-1204;L2OUT-IBE2-INT-POLICY
0.0.0.0;00:50:56:57:20:38;1104-1204;L2OUT-IBE2-INT-POLICY
0.0.0.0;00:50:56:55:80:49;1104-1204;L2OUT-IBE2-INT-POLICY
0.0.0.0;00:50:56:5D:0C:59;1104-1204;L2OUT-IBE2-INT-POLICY
0.0.0.0;00:50:56:53:2C:5C;1104-1204;L2OUT-IBE2-INT-POLICY
0.0.0.0;00:50:56:5E:33:2D;1104-1204;L2OUT-IBE2-INT-POLICY
0.0.0.0;00:50:56:5E:20:35;1104-1204;L2OUT-IBE2-INT-POLICY
0.0.0.0;00:50:56:55:80:05;1104-1204;L2OUT-IBE2-INT-POLICY
0.0.0.0;00:50:56:50:3E:2F;1103-1203;V172IBE2-INT-POLICY-GROUP
0.0.0.0;00:50:56:55:80:04;1104-1204;L2OUT-IBE2-INT-POLICY
7.129.72.43;00:50:56:62:6B:78;1115-1215;DC4PRHCIHST0301-INT-POLICY-GRP
7.129.64.53;00:50:56:6B:80:16;1115-1215;DC4PRHCIHST0311-INT-POLICY-GRP
7.129.64.55;00:50:56:60:48:48;1115-1215;DC4PRHCIHST0313-INT-POLICY-GRP
0.0.0.0;00:50:56:5D:56:9D;1105-1205;L2-OUT-HBE1-INT-POLICY-GROUP
0.0.0.0;00:50:56:5D:56:6C;1105-1205;L2-OUT-HBE1-INT-POLICY-GROUP
0.0.0.0;00:50:56:59:8A:F8;1105-1205;L2-OUT-HBE3-INT-POLICY-GROUP
11.128.63.13;00:50:56:66:C1:6D;1105-1205;L2-OUT-HBE2-INT-POLICY-GROUP
11.129.223.5;00:50:56:68:1A:B5;1105-1205;L2-OUT-HWT1-INT-POLICY-GROUP
7.129.68.85;00:50:56:63:B0:C3;1116-1216;DC4PRHCIHST0508-INT-POLICY-GRP
7.129.64.86;00:50:56:69:E6:6E;1116-1216;DC4PRHCIHST0509-INT-POLICY-GRP
7.129.68.86;00:50:56:6B:A9:2D;1116-1216;DC4PRHCIHST0509-INT-POLICY-GRP
7.129.72.86;00:50:56:6B:7C:57;1116-1216;DC4PRHCIHST0509-INT-POLICY-GRP
7.129.72.83;00:50:56:6A:4E:F8;1116-1216;DC4PRHCIHST0506-INT-POLICY-GRP
7.129.72.88;00:50:56:68:83:6E;1116-1216;DC4PRHCIHST0511-INT-POLICY-GRP
7.129.68.88;00:50:56:67:BD:6B;1116-1216;DC4PRHCIHST0511-INT-POLICY-GRP
7.129.64.90;00:50:56:63:67:58;1116-1216;DC4PRHCIHST0513-INT-POLICY-GRP
7.129.72.92;00:50:56:61:E1:D8;1116-1216;DC4PRHCIHST0515-INT-POLICY-GRP
7.129.64.12;00:50:56:69:B0:EA;1102-1202;DC4PRHCIHST0102-INT-POLICY-GRP
7.129.64.13;00:50:56:61:1E:8F;1102-1202;DC4PRHCIHST0103-INT-POLICY-GRP
7.129.64.15;00:50:56:6D:F9:55;1102-1202;DC4PRHCIHST0105-INT-POLICY-GRP
7.129.64.11;00:50:56:64:56:AE;1102-1202;DC4PRHCIHST0101-INT-POLICY-GRP
7.129.64.14;00:50:56:6E:0C:F2;1102-1202;DC4PRHCIHST0104-INT-POLICY-GRP
7.129.68.12;00:50:56:60:EB:33;1102-1202;DC4PRHCIHST0102-INT-POLICY-GRP
7.129.68.15;00:50:56:6C:73:30;1102-1202;DC4PRHCIHST0105-INT-POLICY-GRP
0.0.0.0;00:50:56:57:20:39;1104-1204;L2OUT-IBE2-INT-POLICY
0.0.0.0;00:50:56:57:1B:49;1104-1204;L2OUT-IBE2-INT-POLICY
0.0.0.0;00:50:56:5D:0D:31;1104-1204;L2OUT-IBE2-INT-POLICY
0.0.0.0;00:50:56:57:20:31;1104-1204;L2OUT-IBE2-INT-POLICY
7.129.64.21;00:50:56:6B:AF:B4;1102-1202;DC4PRHCIHST0111-INT-POLICY-GRP
0.0.0.0;00:50:56:5D:56:D9;1105-1205;L2-OUT-HBE1-INT-POLICY-GROUP
11.129.63.31;00:50:56:67:F8:D0;1104-1204;L2OUT-IBE2-INT-POLICY
0.0.0.0;00:50:56:53:A1:04;1104-1204;L2-OUT-IBE1-INT-POLICY-GROUP
0.0.0.0;00:50:56:51:C9:4C;1104-1204;L2-OUT-SHAR-INT-POLICY-GROUP
7.129.68.11;00:50:56:6B:3A:DB;1102-1202;DC4PRHCIHST0101-INT-POLICY-GRP
7.129.68.13;00:50:56:60:78:A3;1102-1202;DC4PRHCIHST0103-INT-POLICY-GRP
7.129.68.14;00:50:56:6A:7D:F9;1102-1202;DC4PRHCIHST0104-INT-POLICY-GRP
7.129.72.11;00:50:56:64:AD:80;1102-1202;DC4PRHCIHST0101-INT-POLICY-GRP
7.129.72.12;00:50:56:62:0C:04;1102-1202;DC4PRHCIHST0102-INT-POLICY-GRP
7.129.72.15;00:50:56:60:89:FF;1102-1202;DC4PRHCIHST0105-INT-POLICY-GRP
7.129.72.14;00:50:56:61:98:53;1102-1202;DC4PRHCIHST0104-INT-POLICY-GRP
7.129.72.13;00:50:56:6A:26:0C;1102-1202;DC4PRHCIHST0103-INT-POLICY-GRP
0.0.0.0;00:50:56:57:1B:51;1104-1204;L2OUT-IBE2-INT-POLICY
11.129.63.18;00:50:56:6E:35:B1;1104-1204;L2OUT-IBE2-INT-POLICY
11.129.63.33;00:50:56:65:2A:85;1104-1204;L2OUT-IBE2-INT-POLICY
0.0.0.0;00:50:56:5B:2D:14;1104-1204;L2-OUT-IBE1-INT-POLICY-GROUP
0.0.0.0;00:50:56:5E:32:3D;1104-1204;L2OUT-IBE2-INT-POLICY
0.0.0.0;00:50:56:5D:55:F1;1105-1205;L2-OUT-HBE1-INT-POLICY-GROUP
0.0.0.0;00:50:56:57:B7:08;1104-1204;L2-OUT-IBE1-INT-POLICY-GROUP
11.129.31.26;00:50:56:6A:48:AB;1104-1204;L2-OUT-IBE1-INT-POLICY-GROUP
0.0.0.0;00:50:56:5B:23:B4;1104-1204;L2-OUT-IBE1-INT-POLICY-GROUP
0.0.0.0;00:50:56:5E:35:84;1104-1204;L2OUT-IBE2-INT-POLICY
11.129.63.69;00:50:56:6B:73:F6;1104-1204;L2OUT-IBE2-INT-POLICY
11.129.63.19;00:50:56:67:B8:E3;1104-1204;L2OUT-IBE2-INT-POLICY
11.129.63.35;00:50:56:61:D9:DF;1104-1204;L2OUT-IBE2-INT-POLICY
11.129.63.17;00:50:56:6A:61:C4;1104-1204;L2OUT-IBE2-INT-POLICY
11.129.63.68;00:50:56:6F:18:9D;1104-1204;L2OUT-IBE2-INT-POLICY
7.129.72.30;00:50:56:65:39:2E;1102-1202;DC4PRHCIHST0204-INT-POLICY-GRP
7.129.64.26;00:50:56:6B:4F:40;1102-1202;DC4PRHCIHST0200-INT-POLICY-GRP
0.0.0.0;00:50:56:6F:7A:D1;1102-1202;DC4PRHCIHST0200-INT-POLICY-GRP
7.129.68.26;00:50:56:6B:EE:84;1102-1202;DC4PRHCIHST0200-INT-POLICY-GRP
7.129.72.36;00:50:56:68:62:93;1102-1202;DC4PRHCIHST0210-INT-POLICY-GRP
7.129.64.36;00:50:56:65:26:2B;1102-1202;DC4PRHCIHST0210-INT-POLICY-GRP
7.129.68.36;00:50:56:6F:5C:6C;1102-1202;DC4PRHCIHST0210-INT-POLICY-GRP
7.129.72.39;00:50:56:67:B9:88;1102-1202;DC4PRHCIHST0213-INT-POLICY-GRP
